"","DEgenes"
"1360","PP_0257"
"1361","PP_0379"
"1362","PP_0683"
"1363","PP_0700"
"1364","PP_1299"
"1365","PP_1849"
"1366","PP_2421"
"1367","PP_2588"
"1368","PP_2742"
"1369","PP_3089"
"1370","PP_3540"
"1371","PP_3628"
"1372","PP_3667"
"1373","PP_3955"
"1374","PP_4184"
"1375","PP_4253"
"1376","PP_4647"
"1377","PP_5032"
"1378","PP_5241"
"1379","PP_5273"
"1380","PP_5088"
"1381","PP_2743"
"1382","PP_5340"
"1383","PP_5658"
"1384","PP_5735"
"1385","PP_2428"
"1386","PP_3278"
"1387","PP_2875"
"1388","PP_4797"
"1389","PP_4271"
"1390","PP_5390"
"1391","PP_1312"
"1392","PP_4387"
"1393","PP_3283"
"1394","PP_0314"
"1395","PP_0244"
"1396","PP_3277"
"1397","PP_2219"
"1398","PP_0608"
"1399","PP_4317"
"1400","PP_3332"
"1401","PP_5583"
