"","DEgenes"
"320","PP_0325"
"321","PP_0326"
"322","PP_0327"
"323","PP_0943"
"324","PP_1112"
"325","PP_2351"
"326","PP_2387"
"327","PP_2388"
"328","PP_2411"
"329","PP_2567"
"330","PP_3247"
"331","PP_4066"
"332","PP_4251"
"333","PP_4756"
"334","PP_5130"
"335","PP_5659"
"336","PP_4252"
